Code,Consignee Name,Customs Importer Classification,Primary Address,Delivery Address,primary_address,Primary Contact,Default UNLOCO
COLRAIVAP,COLAS RAIL ESTABLECIMIENTO PERMANENTE,,,,,,CLVAP
POLINDMNL1,POLYLINE INDUSTRIES INC.,,,,,,PHMNL
ANPCOUHEB,ANPING COUNTY YIZE METAL PRODUCTS CO LTD,,,,,,CNHEB
JCMINTCEB,JCM INTERNATIONAL MARKETING CORP.,,,,,,PHCEB
PROASIAFE,PROXES ASIA PACIFIC PTE LTD.,,,,,,SGSIN
NINLUCMLN,"NINGBO LUCKYSTAR COMMODITIES CO., LTD",,,,,,CNMLN
MOMSTODXB,MOM STORE GENERAL TRADING LLC,,,,,,AEDXB
DAIINTBIN,"DAINAN INTERNATIONAL, INC.",,,,,,PHBIN
PROMANCEB,"PROFEED MANUFACTURING SOLUTIONS, INC.",,,,,,PHCEB
MJDINDMNL,MJD INDUSTRIES INC.,,,,,,PHMNL
BPMEDIYVR,"BP MEDIA, INC.",,,,,,CAVAN
EMPSHAAFE,EMPIRE SHARED SERVICES PHILIPPINES INC.,,,,,,PHMNL
GUACAIFOS,GUANGDONG CAIFENG PRINTING TECHNOLOGY CO.LTD,,,,,,CNFOS
ALFASIMFM,ALFASTREET ASIA LIMITED,,,,,,MOMFM
AALELBALY,AALY ELBEHAR FOR TRADING AND DISTRIBUTION,,,,,,EGALY
GATNONMNL1,GATCHA NON SPECIALIZED WHOLESALE TRADING,,,,,,PHMNL
PURHORMNL1,THE PUREFOODS HORMEL COMPANY INC.,,,,,,PHMNL
ABAROBDVO,"ABARQUEZ , ROBERT ABADINAS",,,,,,PHDVO
DANCONMNL,DANESH CONSUMER GOODS TRADING,,,,,,PHMNL
BPECOSMNL,BP ECOSYSTEM EQUIPMENT CORP.,,,,,,PHMNL
TECQUIMNL,TECH-QUIPPED CORPORATION,,,,,,PHMNL
ZTENANNKG,"ZTE (NANJING) CO., LTD.",,,,,,CNNKG
ZITLABBCN,ZITRO LABORATORY S L U,,,,,,ESBCN
MENOCESYD,MENARD OCEANIA PTY LTD,,,,,,AUSYD
ZHEWUYZHE,ZHEJIANG WUYI SHENGLU TOOLS CO.LTD,,,,,,CNZHE
MURECMNL,MURATA EC-2,,,,,,PHMNL
PSYBUNYUL,PSYCHO BUNNY INC.,,,,,,CAMTR
AIRGLOAFE,AIR GLOBAL (MACAU) LIMITADA,,,,,,MOMFM
KEREYEVCE,KERING EYEWEAR SPA,,,,,,ITVCE
TONHSITPE,TONG HSING ELECTRONICS IND. LTD.,,,,,,TWTPE
TILGALMNL,THE TILE GALLERY,,,,,,PHMNL
ZHAXIAFUJ,"ZHANGZHOU XIANGZHOU LEATHER CO.,LTD",,,,,,CNFUJ
ADVFORMNL,ADVANCED FORWARDING AND BROKERAGE INC.,,,,,,PHMNL
GULMODDXB,GULF MODE GARMENTS TRADING LLC,,,,,,AEDXB
SUMSTRAFE,SUMMIT STRAPPING CORPORATION,,,,,,PHMNL
BRICOLANT,BRICOLUX,,,,,,BEANT
SHAIUGSHA,"SHANGHAI IUGIS CARBON INDUSTRY CO.,LTD",,,,,,CNSGH
QORGERNUE,QORVO GERMANY GMBH,,,,,,DENUE
ZARCONCEB,ZARIAH CONSUMER GOODS TRADING,,,,,,PHCEB
PHIWINMNL1,PHILIPPINE WINE MERCHANTS,,,,,,PHMNL
NIDINSMNL,NIDEC INSTRUMENTS (PHILIPPINES) CORPORATION,,,,,,PHMNL
PHINIPMNL,PHIL-NIPPON KYOEI CORPORATION,,,,,,PHMNL
PLMCHEMNL,PLM CHEMICAL CORPORATION,,,,,,PHMNL
JEAOBIMNL,JEANETTE OBIENA,,,,,,PHMNL
CHHSENPNH,CHHAYHENG SENG,,,,,,KHPNH
VARWHORIC,"VARIETY WHOLESALERS, INC.",,,,,,USRIC
YURKIMISL,YURT KIMYASAL URUNLER SAN VE DIS. TIC. LTD. STI,,,,,,TRIST
LEVIMPVLC1,"LEVANTE IMPORTACION Y EXPORTACION, S.L.",,,,,,ESVLC
ALFFERAFE,ALFREDO FERNANDO RAZON GONZALEZ,,,,,,USHNL
WHOINGLBC,WHO INGENIEURGESELLSCHAFT MBH,,,,,,DELBC
BAKFAIMNL,BAKER'S FAIR & FOODMART INC.,,,,,,PHMNL
BALINTLVP,BALSAM INTERNATIONAL UNLIMITED COMPANY,,,,,,IRLVP
MEDICABOS,MEDICA CORPORATION,,,,,,USBOS
BETFULDLC,"BETTERENT FULL SHIPPING CO., LTD",,,,,,CNDAL
OTOOTOAFE,OTOKAR OTOMOTIV VE SAVUNMA SANAYI A.S.,,,,,,TRANK
OTTMARMNL,OTTILIE MARKETING. INC.,,,,,,PHMNL
AIRDIVSRZ,AIR DIVISION MASTERLINE SRL,,,,,,BOSRZ
DIVFREMNL,DIVERSIFIED FREIGHT SYSTEM PHILIPPINES CORPORATION,,,,,,PHMNL
INTCORMNL,"INTERNATIONAL SERVICE CORPS OF ASIA, INC.",,,,,,PHMNL
INSSAFMNL,INSTRUMENTATION AND SAFETY ORTIGAS CORP,,,,,,PHMNL
SHA247CLT,SHADOWTRACK 247 LLC,,,,,,USCLT
INFTECHMNL,INFORMATION TECHNOLOGY SECURITY DISTRIBUTION INC.,,,,,,PHMNL
MELTECTLV,MELLANOX TECHNOLOGIES LTD,,,,,,ILTLV
VEEOMECVE,VEER O METALS PHILIPPINES INCE,,,,,,PHCVE
HERASIAFE,HERRENKNECHT (ASIA) LTD,,,,,,THBKK
HEBNORSJW,"HEBEI NORTH CHINA PHARMACEUTICAL HUAHENG PHARMACEUTICAL CO., LTD",,,,,,CNSJW
COMFOOMNL,COMMONWEALTH FOODS,,,,,,PHMNL
HEXDISMAFE,HEXAGON DISTRIBUTING CORP,,,,,,PHMNL
LOGPLUBOM,LOGISTICS PLUS PRIVATE LIMITED,,,,,,INBOM
EMBCENMNL,EMB CENTRAL,,,,,,PHMNL
WILERRCDG,WILLO [ERRON FRANCE,,,,,,FRCDG
TMAAUSGRN,TMA AUSTRALIA PTY. LIMITED,,,,,,AUGRN
EXU1BAL,EXU-1,,,,,,USBAL
BATMEDBTG,BATANGAS MEDICAL CENTER,,,,,,PHBTG
CQLOGIAFE,CQ LOGISTICS JSC,,,,,,VNHAN
ELCINTDXB,ELCOME INTERNATIONAL LLC,,,,,,AEDXB
DSVSOLBKK,DSV SOLUTIONS LTD,,,,,,THBKK
PANLITAFE,PAN -LITSERVICE JSC,,,,,,LTVIL
WEIINDMNL1,WEIGHTECH INDUSTRIAL SUPPLY,,,,,,PHMNL
CEFPRESZN,CEFETRA PREMIUM OILS USA,,,,,,USSRU
KOELEBNUE,KOENIGSHOF GMBH LEBENSMITTELADDITIVE,,,,,,DENUE
