"Code","Shipper Name","Exporter Category","Default Currency","Country","Default Incoterm","Primary Address","Pick Address","Primary Contact","Default UNLOCO"
"HEBLEJXGA","HEBEI LEJIANG FURNITURE CORP.,LTD","","","","","","","","CNXGA"
"SHIMEDMHB","SHILPA MEDICARE LIMITED","","","","","","","","INMHB"
"VITPLUDGG","VITAMIN PLUS LIMITED","","","","","","","","CNDGG"
"SUMSPEPUS","SUMMIT SPECIAL METAL CO. , LTD","","","","","","","","KRPUS"
"ALLFILMKC","ALLEN FILTERS450 SOUTH UNION AVENUE","","","","","","","","USMKC"
"GUAHAOCAN1","GUANGZHOU HAOQI TRADING CO. LTD","","","","","","","","CNGGZ"
"CSPWEITSN","CSPC WEISHENG PHARMACEUTICAL (SHIJIAZHUANG)CO.,LTD.","","","","","","","","CNTNJ"
"NIPSANPSG","NIPPON SANSO INGASCO, INC.","","","","","","","","PHPSG"
"ECOTROSEL","ECOTRON CO LTD","","","","","","","","KRSEL"
"LCTLEAMNL","LCTSI - LEAD CORE TECHNOLOGY SYSTEM INCORPORATED","","","","","","","","PHMNL"
"FSNHRENAH","FS NH REAL WIN I/E CO., LTD.","","","","","","","","CNNAH"
"GENNOLMIL","GENERAL NOLI SPEDIZIONI INTERNAZIONALI SPA MILANO","","","","","","","","ITMIL"
"JOHMATMMX","JOHAN MATSANDERS","","","","","","","","SEMMX"
"ZETENTUMB","ZETACARE ENTERPRISES","","","","","","","","INUMB"
"LIELOGSTU","LIEBHER LOGISTICS GMBH","","","","","","","","DESTU"
"VERDESSUH","VERSA DESIGNED SURFACE (SUZHOU)CO.,LTD.","","","","","","","","CNSUH"
"VFCENGMEA","VFC ENGINEERING SAS","","","","","","","","FRMEA"
"JIASENNKG","JIANGSU SENOLO MEDICAL TECHNOLOGY CO.,LTD","","","","","","","","CNNJI"
"LIEDISDCG","LIEBHERR DISTRIBUTION ET SERVICES","","","","","","","","FRDCG"
"MUTTHOMNL","MUTUC, THOR JOURDAN COLAGON","","","","","","","","PHMNL"
"COLRAICGS","COLAS RAIL IMMEUBLE DEFENSE PLAZA","","","","","","","","FRMEA"
"IFIHEASYD","IFIT HEALTH & FITNESS AUSTRALIA","","","","","","","","AUSYD"
"SEABOACEB","SEALS BOATYARD INC.","","","","","","","","PHCEB"
"AMBELEMNL","AMBAS ELECTRIC AND AUTOMATION","","","","","","","","PHMNL"
"COHOUSNGO","CO., LTD HOUSEN","","","","","","","","JPNGO"
"HANHUAHZO1","HANGZHOU HUADING NEW ENERGY CO LTD","","","","","","","","CNHZO"
"SUBARUTYO","SUBARU CORPORATION","","","","","","","","JPTYO"
"ZEIBROILG","ZEIGER BROS.,INC.","","","","","","","","USILG"
"MAYINDBTN","PT. MAYORA INDAH TBK","","","","","","","","IDBTN"
"MARFREKWN1","MARSHAL FREIGHT INTERNATIONAL LIMITED","","","","","","","","HKKWN"
"FELLAWMNL","FELICIANO LAW OFFICE","","","","","","","","PHMNL"
"DAVSANAFE","DAVAO SAN EI TRADING","","","","","","","","PHMNL"
"ZHOFANNSA","ZHONGSHAN FANTAS LIGHTING CO. LTD.","","","","","","","","CNNSA"
"CHITRAZGA","CHINA TRADERITE CO. LTD CO TCS","","","","","","","","CNZGA"
"GROFORCFJ","GROUPE FORDIA INC","","","","","","","","USCFJ"
"AELLMTAFE","AEL LIMITED INC","","","","","","","","PHMNL"
